index, note, duration, tactus, joint
0, E4,1.7,0,0
1, F#4,3.05,0,0
2, G4,4.39,1,0
3, G#4,5.86,0,0
4, E5,6.34,0,0
5, C5,7.02,0,0
6, E5,7.38,1,0
7, D5,10.65,0,1
8, C5,11.11,0,0
9, D5,11.3,0,0
10, E5,11.73,0,0
11, C5,11.96,0,0
12, A4,12.6,1,0
13, E4,13.98,0,0
14, E5,16.57,0,1
15, C5,17.17,0,0
16, D5,17.95,1,0
17, D5,18.41,0,0
18, C5,21.07,0,1
19, A4,21.53,0,0
20, C5,21.78,0,0
21, A4,22.12,0,0
22, C5,22.35,0,0
23, B4,23.06,1,0
24, G#4,26.88,0,1
25, E5,27.44,0,0
26, C5,28.03,0,0
27, E5,28.33,1,0
28, E5,28.77,0,0
29, E5,29.36,0,0
30, D5,31.67,0,1
31, C5,32.09,0,0
32, D5,32.32,0,0
33, E5,32.68,0,0
34, C5,32.91,0,0
35, A4,33.59,1,0
36, E4,34.93,0,0
37, E4,37.42,0,1
38, G4,38.19,1,0
39, E4,38.83,0,0
40, G4,39.21,0,0
41, A4,39.53,0,0
42, C5,40.21,0,0
43, E5,40.96,1,0
44, D5,41.36,0,0
45, C5,42.41,0,0
46, A4,43.75,1,0
47, A4,48.0,0,1
48, E5,48.62,0,0
49, C5,49.31,0,0
50, E5,49.66,1,0
51, D5,52.95,0,1
52, C5,53.39,0,0
53, D5,53.62,0,0
54, E5,54.0,0,0
55, C5,54.23,0,0
56, A4,54.86,1,0
57, E4,56.29,0,0
58, E5,58.88,0,1
59, C5,59.55,0,0
60, D5,60.26,1,0
61, C5,63.68,0,1
62, A4,64.13,0,0
63, C5,64.39,0,0
64, A4,64.81,0,0
65, C5,65.06,0,0
66, B4,65.8,1,0
67, G#4,69.83,0,1
68, E5,70.3,0,0
69, C5,71.0,0,0
70, E5,71.28,1,0
71, E5,71.74,0,0
72, E5,72.07,0,0
73, D5,74.68,0,1
74, C5,75.11,0,0
75, D5,75.33,0,0
76, E5,75.73,0,0
77, C5,75.97,0,0
78, A4,76.62,1,0
79, E4,77.95,0,0
80, E4,80.99,0,1
81, G4,81.78,1,0
82, E4,82.46,0,0
83, G4,82.88,0,0
84, A4,83.19,0,0
85, C5,83.9,0,0
86, E5,84.69,1,0
87, D5,85.1,0,0
88, C5,86.01,0,0
89, A4,87.5,1,0
