index,note,duration,tactus,joint
0, D#4,1.51,0,0
1, D4,1.91,0,0
2, C4,2.2,0,0
3, D#4,2.55,1,0
4, D4,3.45,0,0
5, A#3,5.28,0,0
6, C4,5.63,0,0
7, D4,5.87,0,0
8, F4,6.27,1,0
9, D#4,7.2,0,0
10, D#4,9.04,0,0
11, F4,9.38,0,0
12, G4,9.65,0,0
13, G#4,10.01,1,0
14, G#4,11.04,0,0
15, G#4,11.72,0,0
16, G#4,12.07,0,0
17, G#4,13.52,0,0
18, G#4,13.88,1,0
19, G4,14.96,0,0
20, D#4,16.96,0,0
21, D4,17.41,0,0
22, C4,17.73,0,0
23, D#4,18.06,1,0
24, D4,18.94,0,0
25, A#3,20.85,0,0
26, C4,21.18,0,0
27, D4,21.43,0,0
28, F4,21.8,1,0
29, D#4,22.72,0,0
30, D#4,24.46,0,0
31, F4,24.79,0,0
32, G4,25.07,0,0
33, A4,25.43,1,0
34, A4,26.4,0,0
35, A4,27.02,0,0
36, A4,27.36,0,0
37, A4,28.77,0,0
38, A4,29.14,1,0
39, C5,29.44,0,0
40, A#4,29.69,0,0
41, A#4,30.06,0,0
42, G4,31.96,0,0
43, G#4,32.34,0,0
44, A#4,32.6,0,0
45, A#4,32.93,1,0
46, C4,33.83,0,0
47, F4,35.69,0,0
48, G4,36.0,0,0
49, G#4,36.27,0,0
50, G#4,36.65,1,0
51, A#3,37.54,0,0
52, D#4,39.49,0,0
53, F4,39.8,0,0
54, G4,40.05,0,0
55, G4,40.44,1,0
56, G4,41.34,0,0
57, G4,41.95,0,0
58, G4,42.29,0,0
59, F4,43.81,0,0
60, C5,44.19,1,0
61, A#4,44.85,0,0
62, A#4,45.21,0,0
63, G4,47.18,0,0
64, G#4,47.52,0,0
65, A#4,47.79,0,0
66, A#4,48.17,1,0
67, C4,49.15,0,0
68, F4,51.09,0,0
69, G4,51.4,0,0
70, G#4,51.65,0,0
71, G#4,52.05,1,0
72, A#3,52.95,0,0
73, D#4,54.77,0,0
74, F4,55.11,0,0
75, G4,55.38,0,0
76, A4,55.72,1,0
77, A4,56.7,0,0
78, A4,57.36,0,0
79, A4,57.7,0,0
80, D#4,58.64,0,0
81, F4,58.93,0,0
82, G4,59.22,0,0
83, A4,59.52,1,0
84, A4,60.51,0,0
85, A4,61.12,0,0
86, A4,61.47,0,0
87, A4,62.42,0,0
88, A#4,62.77,0,0
89, C5,63.03,0,0
90, C5,63.43,1,0
91, C5,64.44,0,0
92, C5,65.12,0,0
93, C5,65.48,0,0
94, A4,66.43,0,0
95, A#4,66.74,0,0
96, C5,67.02,0,0
97, C5,67.38,1,0
98, C5,68.37,0,0
99, C5,68.99,0,0
100, C5,69.29,0,0
101, C5,70.3,0,0
102, D5,70.7,0,0
103, D#5,70.95,0,0
104, D#5,71.34,1,0
105, G4,72.36,0,0
106, C5,72.96,0,0
107, A#4,73.3,0,0
108, C5,75.22,1,0
109, D#4,76.17,0,0
110, G#4,76.81,0,0
111, G4,77.16,0,0
112, G#4,78.89,1,0
113, C4,79.8,0,0
114, D4,80.44,0,0
115, D#4,80.75,0,0
116, A#3,83.46,0,1
117, C4,84.07,0,0
118, D#4,84.45,0,0
119, D4,86.02,0,0
120, D#4,86.4,1,0
121, A#3,87.38,0,0
122, C4,88.0,0,0
123, D#4,88.35,0,0
124, D4,89.91,0,0
125, D#4,90.29,1,0
126, G3,91.21,0,0
127, C4,91.88,0,0
128, A#3,92.26,0,0
129, D#4,94.22,1,0
130, G3,95.2,0,0
131, C4,95.82,0,0
132, A#3,96.2,0,0
133, A#3,98.13,1,0
134, C4,98.71,0,0
135, D4,99.2,0,0
136, D#4,99.69,0,0
137, G4,100.22,0,0
138, F4,100.67,0,0
139, E4,101.13,0,0
140, F4,101.61,0,0
141, G#4,102.11,1,0
142, G4,103.12,0,0
143, G4,104.08,0,0
144, F4,104.59,0,0
145, E4,105.01,0,0
146, F4,105.4,0,0
147, A#4,105.88,1,0
148, C5,106.3,0,0
149, D5,106.72,0,0
150, D#5,107.12,0,0
151, G5,107.62,0,0
152, F5,108.09,0,0
153, E5,108.5,0,0
154, F5,109.01,0,0
155, G#5,109.47,1,0
156, G5,110.45,0,0
157, G5,111.47,0,0
158, F5,111.98,0,0
159, E5,112.34,0,0
160, F5,112.76,0,0
161, D#5,113.33,1,0
162, G4,114.25,0,0
163, C5,114.83,0,0
164, A#4,115.16,0,0
165, D#5,116.98,1,0
166, G4,117.9,0,0
167, C5,118.44,0,0
168, A#4,118.75,0,0
169, D#5,120.37,1,0
170, G4,121.46,0,0
171, C5,122.08,0,0
172, A#4,122.41,0,0
173, G4,122.76,0,0
174, D#4,123.0,0,0
175, C4,123.29,0,0
176, A#3,123.56,0,0
177, G3,123.86,0,0
178, D#3,124.23,1,0
