index,note,duration,tactus,joint
0, D#3,1.33,0,0
1, A#3,3.0,0,0
2, D#3,4.66,1,0
3, F3,6.99,0,0
4, G3,7.39,0,0
5, G#3,7.83,1,0
6, G3,9.38,0,0
7, F3,10.91,1,0
8, A#2,13.59,0,0
9, C3,14.22,1,0
10, D3,15.75,0,0
11, D#3,17.37,1,0
12, F3,18.95,0,0
13, G3,19.77,0,0
14, G#3,20.13,0,0
15, G3,20.54,1,0
16, F3,22.08,0,0
17, D#3,23.72,1,0
18, D#3,27.02,1,0
19, A#3,28.7,0,0
20, D#3,30.36,1,0
21, F3,32.73,0,0
22, G3,33.14,0,0
23, G#3,33.58,1,0
24, G3,35.2,0,0
25, F3,36.8,1,0
26, A#2,39.6,0,0
27, C3,40.04,1,0
28, D3,42.16,0,0
29, D#3,43.46,1,0
30, F3,45.01,0,0
31, G3,45.77,0,0
32, G#3,46.17,0,0
33, G3,46.62,1,0
34, F3,48.2,0,0
35, D#3,49.85,1,0
36, D3,52.88,1,0
37, G3,53.26,0,0
38, A#3,53.58,0,0
39, D4,53.92,0,0
40, C4,54.31,0,0
41, D3,55.77,1,0
42, G3,56.13,0,0
43, A#3,56.43,0,0
44, D4,56.78,0,0
45, C4,57.16,0,0
46, D3,58.55,1,0
47, G3,58.88,0,0
48, A#3,59.2,0,0
49, D4,59.53,0,0
50, C4,59.93,0,0
51, A#3,61.4,1,0
52, A#3,62.17,0,0
53, G3,63.4,0,0
54, A#3,63.77,0,0
55, G3,64.1,0,0
56, G#3,64.52,1,0
57, D#3,67.85,1,0
58, A#3,69.45,0,0
59, D#3,70.93,1,0
60, F3,73.32,0,0
61, G3,73.74,0,0
62, G#3,74.14,1,0
63, G3,75.62,0,0
64, F3,77.22,1,0
65, A#2,80.04,0,0
66, C3,80.51,1,0
67, D3,82.33,0,0
68, D#3,83.9,1,0
69, F3,85.44,0,0
70, G3,86.15,0,0
71, G#3,86.57,0,0
72, G3,87.01,1,0
73, F3,88.54,0,0
74, D#3,90.16,1,0
75, D#3,93.63,1,0
76, A#3,95.26,0,0
77, D#3,96.76,1,0
78, F3,99.05,0,0
79, G3,99.48,0,0
80, G#3,99.9,1,0
81, G3,101.34,0,0
82, F3,102.91,1,0
83, A#2,105.6,0,0
84, C3,106.02,1,0
85, D3,107.98,0,0
86, D#3,109.42,1,0
87, F3,110.94,0,0
88, G3,111.64,0,0
89, G#3,112.04,0,0
90, G3,112.4,1,0
91, F3,114.04,0,0
92, D#3,115.65,1,0
93, D#3,118.58,1,0
94, A#3,120.14,0,0
95, D#3,121.57,1,0
96, F3,123.77,0,0
97, G3,124.19,0,0
98, G#3,124.59,1,0
99, G3,126.08,0,0
100, F3,127.68,1,0
101, A#2,130.29,0,0
102, C3,130.75,1,0
103, D3,132.25,0,0
104, D#3,133.86,1,0
105, F3,135.41,0,0
106, G3,136.14,0,0
107, G#3,136.53,0,0
108, G3,136.93,1,0
109, F3,138.54,0,0
110, D#3,140.08,1,0
111, D3,143.25,1,0
112, G3,143.67,0,0
113, A#3,144.05,0,0
114, D4,144.38,0,0
115, C4,144.75,0,0
116, D3,146.17,1,0
117, G3,146.55,0,0
118, A#3,146.86,0,0
119, D4,147.19,0,0
120, C4,147.57,0,0
121, D3,148.98,1,0
122, G3,149.31,0,0
123, A#3,149.63,0,0
124, D4,149.96,0,0
125, C4,150.36,0,0
126, A#3,151.93,1,0
127, A#3,152.65,0,0
128, G3,153.82,0,0
129, A#3,154.17,0,0
130, G3,154.51,0,0
131, G#3,154.96,1,0
132, D#3,158.08,1,0
133, A#3,159.75,0,0
134, D#3,161.35,1,0
135, F3,163.61,0,0
136, G3,164.0,0,0
137, G#3,164.39,1,0
138, G3,165.97,0,0
139, F3,167.52,1,0
140, A#2,170.31,0,0
141, C3,170.74,1,0
142, D3,172.31,0,0
143, D#3,173.85,1,0
144, F3,175.35,0,0
145, G3,176.09,0,0
146, G#3,176.48,0,0
147, G3,176.92,1,0
148, F3,178.44,0,0
149, D#3,179.96,1,0
