index, note, duration, tactus, joint
0, A3,1.21,0,0
1, A3,2.11,0,0
2, G3,2.53,0,0
3, F3,2.99,1,0
4, F3,3.87,0,0
5, G3,4.29,0,0
6, A3,4.71,1,0
7, A3,5.56,0,0
8, A3,5.99,0,0
9, C4,6.46,1,0
10, D4,8.17,1,0
11, D4,9.1,0,0
12, D4,9.53,0,0
13, C4,9.93,1,0
14, A#3,10.77,0,0
15, A3,11.18,0,0
16, G3,11.61,1,0
17, F3,12.93,0,0
18, G3,13.39,1,0
19, A#3,15.23,1,0
20, A#3,16.08,0,0
21, A#3,16.46,0,0
22, A3,16.9,1,0
23, A#3,17.73,0,0
24, C4,18.14,0,0
25, D4,18.55,1,0
26, D4,19.38,0,0
27, D4,19.8,0,0
28, F4,20.23,1,0
29, E4,21.03,0,0
30, D4,21.48,0,0
31, C4,21.9,1,0
32, A3,22.8,0,0
33, C4,23.2,0,0
34, A#3,23.57,1,0
35, C4,23.75,0,0
36, A#3,23.86,0,0
37, A3,24.14,0,0
38, G3,24.58,0,0
39, F3,25.05,1,0
40, A3,28.68,1,1
41, A3,29.52,0,0
42, G3,29.89,0,0
43, F3,30.28,1,0
44, F3,31.05,0,0
45, G3,31.48,0,0
46, A3,31.9,1,0
47, A3,32.72,0,0
48, A3,33.12,0,0
49, C4,33.55,1,0
50, D4,35.18,1,0
51, D4,36.05,0,0
52, D4,36.45,0,0
53, C4,36.83,1,0
54, A#3,37.61,0,0
55, A3,38.02,0,0
56, G3,38.47,1,0
57, F3,39.63,0,0
58, G3,40.08,1,0
59, A#3,41.77,1,0
60, A#3,42.6,0,0
61, A#3,43.07,0,0
62, A3,43.48,1,0
63, A#3,44.28,0,0
64, C4,44.7,0,0
65, D4,45.11,1,0
66, D4,45.91,0,0
67, D4,46.32,0,0
68, F4,46.77,1,0
69, E4,47.55,0,0
70, D4,47.98,0,0
71, C4,48.36,1,0
72, A3,49.2,0,0
73, C4,49.59,0,0
74, A#3,49.94,1,0
75, C4,50.09,0,0
76, A#3,50.22,0,0
77, A3,50.46,0,0
78, G3,50.85,0,0
79, F3,51.28,1,0
80, B3,54.85,1,1
81, B3,55.66,0,0
82, A3,56.02,0,0
83, G3,56.44,1,0
84, G3,57.23,0,0
85, A3,57.61,0,0
86, B3,58.03,1,0
87, B3,58.85,0,0
88, B3,59.3,0,0
89, D4,59.9,1,0
90, E4,61.59,1,0
91, E4,62.39,0,0
92, E4,62.77,0,0
93, D4,63.24,1,0
94, C4,64.0,0,0
95, B3,64.4,0,0
96, A3,64.87,1,0
97, G3,66.11,0,0
98, A3,66.57,1,0
99, C4,68.37,1,0
100, C4,69.17,0,0
101, C4,69.56,0,0
102, B3,69.95,1,0
103, C4,70.77,0,0
104, D4,71.17,0,0
105, E4,71.55,1,0
106, E4,72.35,0,0
107, E4,72.72,0,0
108, G4,73.12,1,0
109, F#4,73.87,0,0
110, E4,74.28,0,0
111, D4,74.68,1,0
112, B3,75.51,0,0
113, D4,75.88,0,0
114, C4,76.22,1,0
115, D4,76.35,0,0
116, C4,76.53,0,0
117, B3,76.77,0,0
118, A3,77.17,0,0
119, G3,77.58,1,0
120, B3,80.9,1,1
121, B3,81.71,0,0
122, A3,82.09,0,0
123, G3,82.5,1,0
124, G3,83.3,0,0
125, A3,83.69,0,0
126, B3,84.09,1,0
127, B3,84.88,0,0
128, B3,85.25,0,0
129, D4,85.9,1,0
130, E4,87.48,1,0
131, E4,88.33,0,0
132, E4,88.71,0,0
133, D4,89.12,1,0
134, C4,89.84,0,0
135, B3,90.23,0,0
136, A3,90.69,1,0
137, G3,91.87,0,0
138, A3,92.29,1,0
139, C4,93.98,1,0
140, C4,94.78,0,0
141, C4,95.16,0,0
142, B3,95.55,1,0
143, C4,96.3,0,0
144, D4,96.68,0,0
145, E4,97.05,1,0
146, E4,97.86,0,0
147, E4,98.26,0,0
148, G4,98.68,1,0
149, F#4,99.4,0,0
150, E4,99.81,0,0
151, D4,100.19,1,0
152, B3,101.0,0,0
153, D4,101.39,0,0
154, C4,101.72,1,0
155, D4,101.83,0,0
156, C4,101.98,0,0
157, B3,102.27,0,0
158, A3,102.66,0,0
159, G3,103.1,1,0
160, D4,105.88,0,1
161, C#4,106.15,0,0
162, D4,106.55,1,0
163, B3,107.34,0,0
164, D4,107.74,0,0
165, C4,108.11,1,0
166, D4,108.23,0,0
167, C4,108.34,0,0
168, B3,108.6,0,0
169, A3,108.97,0,0
170, G3,109.39,1,0
171, G3,116.84,0,4
172, F4,117.22,0,0
173, G4,117.5,1,0
