index,note,duration,tactus,joint
0, A5,1.52,0,0
1, G5,4.21,0,1
2, B5,4.64,0,0
3, A#5,5.01,0,1
4, A5,5.41,0,0
5, F#5,7.34,0,1
6, G5,7.51,0,0
7, A5,7.75,0,0
8, A5,8.08,0,1
9, A5,8.31,0,0
10, A5,8.53,0,0
11, A5,8.89,0,0
12, A5,9.13,0,0
13, A5,9.36,0,0
14, G5,9.77,0,1
15, B5,10.12,0,0
16, G5,10.52,0,0
17, A5,10.87,0,0
18, B5,11.26,0,1
19, A5,11.65,0,0
20, F5,14.28,1,1
21, E5,16.89,0,1
22, G5,17.25,0,0
23, F#5,17.65,0,1
24, F5,18.05,0,0
25, C5,20.02,0,1
26, D5,20.26,0,0
27, E5,20.44,0,0
28, E5,20.82,0,1
29, E5,21.03,0,0
30, E5,21.24,0,0
31, D#5,21.61,0,0
32, E5,21.81,0,0
33, F5,22.0,0,0
34, E5,23.03,0,1
35, F5,23.2,0,0
36, G5,23.41,0,0
37, G5,23.77,0,1
38, G5,24.01,0,0
39, G5,24.23,0,0
40, F#5,24.59,0,0
41, G5,24.79,0,0
42, A5,25.02,0,0
43, A5,26.64,1,1
44, G5,29.27,0,1
45, B5,29.64,0,0
46, A#5,30.06,0,1
47, A5,30.48,0,0
48, F#5,32.42,0,1
49, G5,32.61,0,0
50, A5,32.84,0,0
51, A5,33.2,0,1
52, A5,33.43,0,0
53, A5,33.64,0,0
54, A5,34.05,0,0
55, A5,34.26,0,0
56, A5,34.49,0,0
57, G5,34.9,0,1
58, B5,35.27,0,0
59, G5,35.67,0,0
60, A5,36.08,0,0
61, B5,36.49,0,1
62, A5,36.88,0,0
63, F5,39.62,1,1
64, E5,41.93,0,1
65, G5,42.29,0,0
66, F#5,42.71,0,1
67, F5,43.13,0,0
68, C5,45.07,0,1
69, D5,45.25,0,0
70, E5,45.47,0,0
71, E5,45.89,0,1
72, E5,46.07,0,0
73, E5,46.29,0,0
74, D#5,46.68,0,0
75, E5,46.89,0,0
76, F5,47.06,0,0
77, E5,48.21,0,1
78, F5,48.43,0,0
79, G5,48.64,0,0
80, G5,49.05,0,1
81, G5,49.26,0,0
82, G5,49.47,0,0
83, F#5,49.83,0,1
84, G5,50.04,0,0
85, A5,50.26,0,0
86, C6,52.05,1,1
87, B5,54.68,0,1
88, D6,55.08,0,0
89, C#6,55.47,0,1
90, C6,55.9,0,0
91, B5,57.88,0,1
92, D6,58.28,0,0
93, C#6,58.68,0,1
94, C6,59.06,0,0
95, B5,59.49,0,0
96, D6,59.87,0,0
97, C#6,60.27,0,1
98, C6,60.66,0,0
99, B5,61.08,0,0
100, A5,61.48,0,0
101, A5,64.77,1,2
102, G5,67.34,0,1
103, B5,67.72,0,0
104, A#5,68.12,0,1
105, A5,68.51,0,0
106, F#5,70.49,0,1
107, G5,70.66,0,0
108, A5,70.9,0,0
109, A5,71.28,0,1
110, A5,71.49,0,0
111, A5,71.72,0,0
112, A5,72.08,0,0
113, A5,72.29,0,0
114, A5,72.51,0,0
115, G5,72.9,0,1
116, B5,73.24,0,0
117, G5,73.63,0,0
118, A5,73.99,0,0
119, B5,74.4,0,1
120, A5,74.75,0,0
121, F5,77.34,1,1
122, E5,79.94,0,1
123, G5,80.32,0,0
124, F#5,80.73,0,1
125, F5,81.11,0,0
126, C5,83.08,0,1
127, D5,83.31,0,0
128, E5,83.53,0,0
129, E5,83.85,0,1
130, E5,84.13,0,0
131, F5,84.35,0,0
132, F5,84.71,0,1
133, F5,84.91,0,0
134, D5,85.12,0,0
135, D5,85.55,0,1
136, D5,85.75,0,0
137, E5,85.98,0,0
138, E5,86.37,0,0
139, E5,86.58,0,0
140, C5,86.77,0,0
