index, note, duration, tactus, joint
0, F5,2.08,0,0
1, E5,4.56,0,0
2, E5,4.9,1,0
3, G5,7.12,0,0
4, G5,7.46,1,0
5, F5,8.1,0,0
6, F5,8.41,0,0
7, E5,9.33,0,0
8, E5,9.7,0,0
9, D5,10.56,0,1
10, C5,10.84,0,0
11, G4,11.46,0,0
12, F5,12.59,1,0
13, E5,14.42,0,0
14, E5,14.75,0,0
15, A5,17.06,0,1
16, G5,17.38,1,0
17, F5,17.98,0,0
18, F5,18.32,0,0
19, E5,19.18,0,0
20, E5,19.53,0,0
21, D5,20.36,0,1
22, C5,20.66,0,0
23, G4,21.24,0,0
24, F5,22.32,1,0
25, G5,24.13,0,0
26, E5,24.44,0,0
27, A5,26.74,0,1
28, G5,27.08,1,0
29, F5,27.66,0,0
30, F5,27.96,0,0
31, E5,28.85,0,0
32, E5,29.15,0,0
33, D5,29.95,0,1
34, C5,30.26,0,0
35, G4,30.77,0,0
36, F5,31.89,1,0
37, E5,33.66,0,0
38, E5,33.98,0,0
39, D5,34.51,0,1
40, C5,34.66,0,0
41, C5,35.33,0,0
42, G4,35.68,0,0
43, A4,35.97,0,0
44, B4,36.31,0,0
45, C5,36.61,1,0
46, B4,37.2,0,0
47, C5,37.51,0,0
48, D5,38.38,0,0
49, E5,38.68,0,0
50, D5,39.48,0,1
51, C5,39.77,0,0
52, D5,40.68,0,0
53, E5,40.99,0,0
54, F5,41.29,1,0
55, G5,41.88,0,0
56, A5,42.16,0,0
57, B5,42.73,0,0
58, C6,43.33,0,0
59, D6,44.18,0,1
60, C6,44.46,0,0
61, G5,45.03,0,0
62, F5,46.38,0,1
63, G5,46.69,0,0
64, A5,46.95,0,0
65, C6,47.51,0,0
66, B5,47.84,0,0
67, C6,48.38,0,1
68, A5,48.65,0,0
69, G5,48.94,0,0
70, D5,49.79,0,0
71, E5,50.07,0,0
72, F5,50.35,1,0
73, G5,50.83,0,0
74, A5,51.17,0,0
75, B5,51.67,0,0
76, C6,52.22,0,0
77, D6,53.11,0,1
78, C6,53.41,0,0
79, G5,53.99,0,0
80, A5,54.57,0,0
81, B5,54.73,0,0
82, E6,54.88,1,0
83, D6,55.09,0,0
84, E6,55.21,0,0
85, E6,55.43,0,0
86, D6,57.62,0,1
87, C6,57.9,0,0
88, A5,58.19,0,0
89, G5,58.77,0,0
90, F5,59.33,1,0
91, E5,61.4,0,0
92, E5,61.71,1,0
93, G5,63.64,0,0
94, G5,63.95,1,0
95, F5,64.57,0,0
96, F5,64.88,0,0
97, E5,65.73,0,0
98, D5,66.82,0,1
99, C5,67.08,0,0
100, G4,67.65,0,0
101, F5,68.64,1,0
102, E5,70.71,0,0
103, E5,70.96,0,0
104, E5,72.61,0,1
105, A5,72.99,0,0
106, G5,73.29,1,0
107, F5,73.87,0,0
108, F5,74.18,0,0
109, E5,74.99,0,0
110, E5,75.29,0,0
111, D5,76.1,0,1
112, C5,76.38,0,0
113, G4,76.91,0,0
114, F5,77.93,1,0
115, G5,79.64,0,0
116, E5,79.96,0,0
117, A5,82.12,0,1
118, G5,82.44,1,0
119, F5,83.02,0,0
120, F5,83.35,0,0
121, E5,84.14,0,0
122, E5,84.45,0,0
123, D5,85.2,0,1
124, C5,85.51,0,0
125, G4,86.04,0,0
126, F5,87.06,1,0
127, E5,89.05,0,0
128, E5,89.3,0,0
129, D5,89.74,0,1
130, C5,89.87,0,0
131, G4,91.25,0,0
132, A4,91.57,0,0
133, B4,91.85,0,0
134, C5,92.17,1,0
135, B4,92.71,0,0
136, C5,92.99,0,0
137, D5,93.85,0,0
138, E5,94.12,0,0
139, D5,94.93,0,1
140, C5,95.23,0,0
141, D5,96.04,0,0
142, E5,96.38,0,0
143, F5,96.64,1,0
144, G5,97.19,0,0
145, A5,97.46,0,0
146, B5,97.97,0,0
147, C6,98.55,0,0
148, D6,99.36,0,1
149, C6,99.64,0,0
150, G5,100.18,0,0
151, F5,101.5,0,1
152, G5,101.78,0,0
153, A5,102.1,0,0
154, C6,102.63,0,0
155, B5,102.96,0,0
156, C6,103.48,0,1
157, A5,103.76,0,0
158, G5,104.05,0,0
159, D5,104.9,0,0
160, E5,105.16,0,0
161, F5,105.43,1,0
162, G5,105.96,0,0
163, A5,106.25,0,0
164, B5,106.75,0,0
165, C6,107.29,0,0
166, D6,108.07,0,1
167, C6,108.37,0,0
168, G5,108.9,0,0
169, A5,109.48,0,0
170, B5,109.66,0,0
171, E6,109.81,1,0
172, D6,109.96,0,0
173, E6,110.07,0,0
174, E6,110.37,0,0
175, A5,112.27,0,1
176, E6,113.15,0,0
177, D6,113.97,0,0
178, C6,114.27,1,0
179, A4,122.19,0,3
180, C5,122.51,0,0
181, A5,122.8,1,0
182, A#5,124.72,0,0
183, A5,124.92,0,0
184, G5,125.15,1,0
185, A4,126.85,0,0
186, C5,127.13,0,0
187, E5,127.43,1,0
188, G5,128.0,0,0
189, G5,128.32,0,0
190, A5,128.86,0,0
191, E5,129.33,0,0
192, C6,129.95,0,1
193, B5,130.46,0,0
194, C6,130.53,0,0
195, B5,131.3,0,0
196, A5,131.58,0,0
197, A5,131.87,1,0
198, G5,132.17,0,0
199, E5,133.6,0,0
200, F5,133.85,0,0
201, G5,134.15,1,0
202, C5,136.16,0,0
203, A5,136.5,1,0
204, G5,137.47,0,0
205, G5,137.75,0,0
206, A5,138.04,0,0
207, C6,138.34,0,0
208, E6,138.62,0,0
209, F6,138.92,1,0
210, E6,139.51,0,0
211, C6,139.78,0,0
212, G5,140.11,0,0
213, A5,140.54,0,0
214, C6,140.95,0,0
215, E6,141.19,1,0
216, D6,141.33,0,0
217, B5,141.91,0,0
218, B5,142.23,0,0
219, B5,142.79,0,0
220, A5,143.06,0,0
221, G5,143.34,0,0
222, G5,143.63,1,0
223, D5,146.35,0,1
224, E5,146.67,0,0
225, E5,146.95,0,0
226, C5,147.74,0,0
227, G4,147.96,0,0
228, F5,148.26,1,0
229, E5,148.81,0,0
230, C5,149.04,0,0
231, G4,149.25,0,0
232, F5,149.47,0,0
233, E5,149.98,0,0
234, C5,150.22,0,0
235, G4,150.43,0,0
236, G5,150.64,1,0
237, F5,150.96,0,0
238, E5,151.23,0,0
239, D5,151.49,0,0
240, C5,151.86,0,0
241, G4,154.44,0,1
242, A4,154.62,0,0
243, C5,154.77,0,0
244, E5,154.93,0,0
245, G5,155.08,0,0
246, A5,155.28,0,0
247, C6,155.46,1,0
248, E5,156.19,0,0
249, D5,156.32,0,0
250, C5,156.47,0,0
251, A4,156.62,0,0
252, D5,156.84,0,0
253, C5,157.15,0,0
254, E5,157.45,0,0
255, G5,157.67,0,0
256, A5,157.89,0,0
257, C6,158.14,1,0
258, B5,158.49,0,0
259, B5,158.83,0,0
260, A5,159.14,0,0
261, A5,159.45,0,0
262, G5,159.78,0,0
263, G6,160.04,0,0
264, F6,160.32,0,0
265, D6,160.72,1,0
266, E6,160.85,0,0
267, C6,161.13,0,0
268, G5,161.44,0,0
269, A5,162.97,0,0
270, C6,163.24,0,0
271, A5,164.44,0,1
272, E5,164.62,0,0
273, G5,164.84,0,0
274, A5,165.47,0,0
275, C5,165.81,0,0
276, C5,166.12,1,0
277, A4,166.75,0,0
278, C5,167.08,0,0
279, C6,167.79,0,0
280, C6,168.28,0,0
281, B5,169.31,0,1
282, C6,169.59,0,0
283, A5,169.93,0,0
284, C6,170.55,0,0
285, B5,170.81,0,0
286, C6,171.03,0,0
287, A5,171.25,1,0
288, C6,171.68,0,0
289, B5,171.93,0,0
290, C6,172.11,0,0
291, A5,172.3,0,0
292, C6,173.03,0,0
