index, note, duration, tactus, joint
0, A#4,1.64,0,0
1, A#4,2.45,0,0
2, D#5,3.27,1,0
3, G5,4.41,0,0
4, G5,4.91,0,0
5, F5,5.39,0,0
6, D#5,5.84,0,0
7, D5,6.36,0,0
8, D5,6.89,1,0
9, D#5,7.64,0,0
10, A#4,7.93,0,0
11, C5,9.31,0,0
12, D5,9.62,0,0
13, D#5,9.87,0,0
14, F5,10.11,0,0
15, G5,10.38,0,0
16, D#5,10.62,0,0
17, D#5,10.93,1,0
18, D5,11.98,0,0
19, D#5,12.84,0,0
20, C5,13.09,0,0
21, F5,13.66,0,0
22, G5,14.09,0,0
23, G#5,14.58,0,0
24, D#5,15.11,1,0
25, D5,16.2,0,0
26, G5,17.27,0,0
27, F5,18.31,0,0
28, D#5,18.56,0,0
29, D5,18.83,0,0
30, F5,19.09,0,0
31, D#5,19.43,1,0
32, A#4,20.46,0,0
33, G5,21.55,0,0
34, G#5,22.11,0,0
35, G5,22.42,0,0
36, F5,22.67,0,0
37, D#5,22.9,0,0
38, D5,23.15,0,0
39, F5,23.38,0,0
40, A#5,23.72,1,0
41, G#5,24.18,0,0
42, G5,24.66,0,0
43, F5,25.16,0,0
44, D#5,25.66,0,0
45, C#5,26.15,0,0
46, C5,26.58,0,0
47, B4,27.13,0,0
48, B4,27.63,1,0
49, C5,28.24,0,0
50, G#5,28.77,0,0
51, F5,29.18,0,0
52, F5,29.76,0,0
53, D#5,30.24,0,0
54, D#5,30.74,0,0
55, D5,31.36,0,0
56, D5,31.8,1,0
57, D#5,32.95,0,0
58, A#4,34.04,0,0
59, A#4,34.98,0,0
60, D#5,35.92,1,0
61, G5,37.29,0,0
62, G5,37.79,0,0
63, F5,38.25,0,0
64, D#5,38.75,0,0
65, D5,39.26,0,0
66, D5,39.75,1,0
67, D#5,40.44,0,0
68, A#4,40.71,0,0
69, C5,42.03,0,0
70, D5,42.32,0,0
71, D#5,42.56,0,0
72, F5,42.8,0,0
73, G5,43.05,0,0
74, D#5,43.31,0,0
75, D#5,43.57,1,0
76, D5,44.53,0,0
77, D#5,45.29,0,0
78, C5,45.53,0,0
79, F5,46.11,0,0
80, G5,46.53,0,0
81, G#5,47.04,0,0
82, D#5,47.54,1,0
83, D5,48.53,0,0
84, G5,49.47,0,0
85, F5,50.47,0,0
86, D#5,50.69,0,0
87, D5,50.95,0,0
88, F5,51.21,0,0
89, D#5,51.53,1,0
90, A#4,52.52,0,0
91, G5,53.52,0,0
92, G#5,54.05,0,0
93, G5,54.3,0,0
94, F5,54.55,0,0
95, D#5,54.78,0,0
96, D5,55.03,0,0
97, F5,55.28,0,0
98, A#5,55.57,1,0
99, G#5,56.03,0,0
100, G5,56.53,0,0
101, F5,57.01,0,0
102, D#5,57.52,0,0
103, C#5,57.99,0,0
