index, note, duration, tactus, joint
0, G5,0.96,0,0
1, G5,1.45,0,0
2, G5,1.63,0,0
3, G5,2.28,0,0
4, G4,3.64,1,0
5, G5,4.85,0,0
6, G5,5.32,0,0
7, G5,5.51,0,0
8, G5,6.08,1,0
9, G4,6.8,0,0
10, D5,7.66,0,0
11, D5,7.97,0,0
12, D5,8.28,0,0
13, D5,8.6,1,0
14, D5,10.11,0,0
15, D5,10.4,0,0
16, D5,10.72,0,0
17, D5,11.01,1,0
18, E5,11.82,0,0
19, F#5,11.96,0,0
20, G5,12.15,0,0
21, G4,12.83,0,0
22, C5,13.45,1,0
23, B4,14.05,0,0
24, A4,14.67,0,0
25, G4,15.29,0,0
26, D5,15.87,1,0
27, D5,17.06,0,0
28, G4,18.23,1,0
29, G5,20.55,1,0
30, G5,21.0,0,0
31, G5,21.15,0,0
32, G5,21.75,0,0
33, G4,23.07,1,0
34, G5,24.16,0,0
35, G5,24.6,0,0
36, G5,24.75,0,0
37, G5,25.31,1,0
38, G4,25.93,0,0
39, D5,26.88,0,0
40, D5,27.18,0,0
41, D5,27.5,0,0
42, D5,27.8,1,0
43, D5,29.23,0,0
44, D5,29.53,0,0
45, D5,29.82,0,0
46, D5,30.11,1,0
47, E5,30.89,0,0
48, F#5,31.05,0,0
49, G5,31.2,0,0
50, G4,31.84,0,0
51, C5,32.42,1,0
52, B4,33.0,0,0
53, A4,33.56,0,0
54, G4,34.14,0,0
55, D5,34.73,1,0
56, D5,35.9,0,0
57, G4,37.08,1,0
58, G5,38.84,0,0
59, G5,39.38,1,0
60, F#5,39.7,0,0
61, G5,39.98,0,0
62, A5,40.24,0,0
63, G5,40.55,0,0
64, G5,41.18,0,0
65, F5,41.76,1,0
66, E5,42.06,0,0
67, F5,42.32,0,0
68, G5,42.59,0,0
69, F5,42.9,0,0
70, F5,43.43,0,0
71, E5,44.12,1,0
72, D5,44.36,0,0
73, E5,44.68,0,0
74, F5,44.92,0,0
75, E5,45.24,0,0
76, E5,45.82,0,0
77, D5,46.44,1,0
78, D5,47.82,0,0
79, E5,48.11,0,0
80, F#5,48.38,0,0
81, G5,48.69,1,0
82, E5,49.3,0,0
83, F5,49.81,0,0
84, G5,50.44,0,0
85, C5,51.0,1,0
86, C6,51.31,0,0
87, B5,51.62,0,0
88, A5,51.92,0,0
89, B5,52.2,0,0
90, G5,52.81,0,0
91, A5,53.37,1,0
92, A5,53.88,0,0
93, G5,54.52,0,0
94, G5,54.86,0,0
95, F5,55.14,0,0
96, E5,55.42,0,0
97, D5,55.75,1,0
98, B4,56.31,0,0
99, C5,56.92,0,0
100, D5,57.52,0,0
101, G4,58.08,1,0
102, G5,59.77,0,0
103, G5,60.33,1,0
104, F#5,60.6,0,0
105, G5,60.89,0,0
106, A5,61.19,0,0
107, G5,61.51,0,0
108, G5,62.09,0,0
109, F5,62.7,1,0
110, E5,62.97,0,0
111, F5,63.29,0,0
112, G5,63.55,0,0
113, F5,63.84,0,0
114, F5,64.34,0,0
115, E5,65.01,1,0
116, D5,65.33,0,0
117, E5,65.64,0,0
118, F5,65.88,0,0
119, E5,66.21,0,0
120, E5,66.77,0,0
121, D5,67.4,1,0
122, D5,68.75,0,0
123, E5,69.06,0,0
124, F#5,69.31,0,0
125, G5,69.62,1,0
126, E5,70.19,0,0
127, F5,70.83,0,0
128, G5,71.4,0,0
129, C5,71.93,1,0
130, C6,72.27,0,0
131, B5,72.56,0,0
132, A5,72.87,0,0
133, B5,73.14,0,0
134, G5,73.77,0,0
135, A5,74.34,1,0
136, A5,74.9,0,0
137, G5,75.47,0,0
138, G5,75.81,0,0
139, F#5,76.1,0,0
140, E5,76.4,0,0
141, D5,76.7,1,0
142, B4,77.29,0,0
143, C5,77.86,0,0
144, D5,78.5,0,0
145, G4,79.23,1,0
