index,note,duration,tactus,joint
0, E5,2.23,0,0
1, E5,3.64,0,0
2, E5,5.14,0,0
3, D#5,6.85,1,0
4, E5,8.41,0,0
5, E4,9.96,0,0
6, B4,11.48,1,0
7, B4,12.75,0,0
8, B4,14.13,0,0
9, C5,15.53,1,0
10, C5,16.8,0,0
11, C5,18.14,0,0
12, C5,19.59,1,0
13, B4,20.97,0,0
14, B4,22.3,0,0
15, C5,23.91,1,0
16, A4,25.34,0,0
17, A4,26.73,0,0
18, D5,28.08,1,0
19, G4,29.37,0,0
20, G4,30.72,0,0
21, C5,32.14,1,0
22, C5,34.92,0,0
23, C5,36.29,1,0
24, D5,37.55,0,0
25, D4,38.91,0,0
26, G4,40.25,1,0
27, G4,41.78,0,0
28, G4,43.22,0,0
29, G4,44.59,1,0
30, F#4,46.17,0,0
31, F#4,47.42,0,0
32, G4,48.86,1,0
33, C5,49.52,0,0
34, D5,50.15,0,0
35, D4,51.57,0,0
36, G4,52.76,1,0
37, F4,53.84,0,0
38, E4,54.2,0,0
39, F#4,55.19,0,0
40, G#4,55.57,0,0
41, E4,56.57,0,0
42, A4,56.95,1,0
43, G#4,58.35,0,0
44, G#4,59.66,0,0
45, A4,61.06,1,0
46, D5,61.75,0,0
47, E5,62.38,0,0
48, E4,63.6,0,0
49, A4,64.96,1,0
50, G4,66.09,0,0
51, F#4,66.55,0,0
52, G#4,67.57,0,0
53, A4,67.98,0,0
54, F#4,69.06,0,0
55, B4,69.5,1,0
56, A#4,70.91,0,0
57, A#4,72.22,0,0
58, B4,73.67,1,0
59, E5,74.36,0,0
60, F#5,75.08,0,0
61, F#4,76.36,0,0
62, B4,77.91,1,0
63, G#4,79.25,0,0
64, G#4,80.59,0,0
65, A4,82.04,1,0
66, F#4,83.42,0,0
67, F#4,84.83,0,0
68, G4,86.13,1,0
69, E4,87.51,0,0
70, E4,89.09,0,0
71, C5,90.4,1,0
72, A4,91.7,0,0
73, A4,92.87,0,0
74, B4,94.2,1,0
75, D#5,95.47,0,0
76, D#5,96.82,0,0
77, E5,98.21,1,0
78, D#5,99.51,0,0
79, D#5,100.82,0,0
80, E5,102.15,1,0
81, A4,103.1,0,0
82, B4,103.48,0,0
83, B4,104.65,0,0
84, E4,105.93,1,0
85, E5,107.23,0,0
86, D5,108.6,0,0
87, C5,109.74,1,0
88, B4,113.96,1,0
