index,note,duration,tactus,joint
0, A4,2.04,0,0
1, C5,3.2,0,0
2, A#4,4.26,0,0
3, A4,5.43,1,0
4, F5,6.01,0,0
5, E5,6.59,0,0
6, C5,8.73,1,0
7, F5,9.81,0,0
8, A#5,10.77,0,0
9, A5,11.26,0,0
10, G5,11.82,1,0
11, C5,13.06,0,0
12, E5,15.53,0,1
13, E5,16.07,0,0
14, F5,16.59,0,0
15, F5,17.09,0,0
16, G5,17.63,0,0
17, F5,18.86,0,1
18, F5,19.38,0,0
19, G5,19.95,0,0
20, G5,20.5,0,0
21, A5,21.07,0,0
22, D5,22.32,0,1
23, D5,22.87,0,0
24, E5,23.36,0,0
25, E5,23.98,0,0
26, F5,24.45,0,0
27, D5,25.05,1,0
28, G5,31.69,1,1
29, F5,32.96,0,0
30, E5,33.93,0,0
31, D5,35.09,1,0
32, B4,36.26,0,0
33, C5,37.31,0,0
34, A4,38.98,0,1
35, B4,39.55,0,0
36, C5,41.31,0,0
37, C5,41.89,1,0
38, A4,45.87,1,0
39, C5,46.99,0,0
40, A#4,48.04,0,0
41, A4,49.11,1,0
42, F5,49.65,0,0
43, E5,50.26,0,0
44, C5,52.34,1,0
45, F5,53.45,0,0
46, A#5,54.42,0,0
47, A5,54.89,0,0
48, G5,55.44,1,0
49, C5,56.58,0,0
50, E5,59.16,0,1
51, E5,59.69,0,0
52, F5,60.18,0,0
53, F5,60.74,0,0
54, G5,61.21,0,0
55, F5,62.48,0,1
56, F5,62.96,0,0
57, G5,63.47,0,0
58, G5,63.96,0,0
59, A5,64.42,0,0
60, D5,65.69,0,1
61, D5,66.17,0,0
62, E5,66.68,0,0
63, E5,67.21,0,0
64, F5,67.64,0,0
65, D5,68.13,1,0
66, G5,74.15,1,1
67, F5,75.32,0,0
68, E5,76.29,0,0
69, D5,77.36,1,0
70, B4,78.38,0,0
71, C5,79.39,0,0
72, A4,80.88,0,1
73, B4,81.4,0,0
74, C5,82.88,0,0
75, C5,83.49,1,0
76, E5,86.59,1,0
77, G5,87.62,0,0
78, F5,88.64,0,0
79, E5,89.73,1,0
80, F5,89.98,0,0
81, G5,90.26,0,0
82, E5,90.81,0,0
83, C#5,92.91,1,0
84, E5,93.43,0,0
85, E5,94.02,0,0
86, G5,94.43,0,0
87, G5,95.04,0,0
88, E5,95.46,0,0
89, D5,95.92,1,0
90, C#5,99.48,0,1
91, C#5,99.93,0,0
92, D5,100.39,0,0
93, D5,100.89,0,0
94, E5,101.41,0,0
95, E5,102.52,0,1
96, E5,103.06,0,0
97, F5,103.52,0,0
98, F5,103.98,0,0
99, G5,104.51,0,0
100, G5,105.0,1,0
101, G5,107.94,1,0
102, F5,108.94,0,0
103, D6,110.77,1,0
104, C6,111.27,0,0
105, C6,111.75,0,0
106, A#5,112.24,0,0
107, A#5,112.77,0,0
108, A5,113.3,0,0
109, A5,113.8,1,0
110, G5,114.79,0,0
111, F5,115.77,0,0
112, F5,116.71,1,0
113, E5,117.22,0,0
114, C#5,117.72,0,0
115, D5,119.17,0,0
116, D5,119.67,1,0
117, F#5,122.74,1,0
118, A5,123.19,0,0
119, A5,123.68,0,0
120, D5,124.13,0,0
121, D5,124.59,0,0
122, F5,125.1,0,0
123, F#5,125.58,1,0
124, G5,125.84,0,0
125, A5,126.06,0,0
126, G5,126.58,0,0
127, C5,128.57,1,0
128, E5,129.11,0,0
129, E5,129.59,0,0
130, G5,130.01,0,0
131, G5,130.5,0,0
132, C5,130.99,0,0
133, C5,131.55,1,0
134, F4,132.53,0,0
135, C5,134.27,1,0
136, F5,135.33,0,0
137, A#5,136.23,0,0
138, A5,136.66,0,0
139, G5,137.16,1,0
140, F5,137.7,0,0
141, E5,138.21,0,0
142, D5,138.67,0,0
143, C5,139.15,0,0
144, A#4,139.64,0,0
145, A5,140.61,0,1
146, A5,141.14,0,0
147, A#5,141.55,0,0
148, A#5,142.1,0,0
149, C6,142.49,0,0
150, A#5,143.5,0,1
151, A#5,144.04,0,0
152, C6,144.51,0,0
153, C6,144.99,0,0
154, D6,145.44,0,0
155, G5,146.41,0,1
156, G5,146.9,0,0
157, A5,147.35,0,0
158, A5,147.85,0,0
159, A#5,148.34,0,0
160, G5,148.86,1,0
161, C6,154.41,1,1
162, A#5,155.36,0,0
163, A5,156.39,0,0
164, G5,157.4,1,0
165, E5,158.45,0,0
166, F5,159.48,0,0
167, D5,160.86,0,1
168, E5,161.29,0,0
169, F5,162.75,0,0
170, F5,163.28,1,0
171, C5,166.17,1,0
172, E5,167.23,0,0
173, D5,168.14,0,0
174, C5,169.08,1,0
175, A#4,170.1,0,0
176, A4,171.99,1,0
177, C#5,173.02,0,0
178, A4,173.96,0,0
179, D5,174.96,1,0
180, E5,178.25,0,1
181, E5,178.77,0,0
182, F5,179.23,0,0
183, F5,179.74,0,0
184, G5,180.24,0,0
185, G5,181.28,0,1
186, G5,181.82,0,0
187, A5,182.28,0,0
188, A5,182.74,0,0
