index, note, duration, tactus, joint
0, A#3,1.9,0,0
1, A#3,2.37,1,0
2, G#3,4.34,0,1
3, A#3,4.55,0,0
4, C4,4.79,0,0
5, A#3,4.92,0,0
6, A#3,5.17,0,0
7, G#3,5.3,0,0
8, A#3,5.73,1,0
9, F3,7.65,0,1
10, G#3,8.09,0,0
11, G3,8.24,0,0
12, G3,8.46,0,0
13, F3,8.58,0,0
14, G3,8.94,1,0
15, D#3,10.78,0,1
16, F3,10.89,0,0
17, G3,11.13,0,0
18, D#3,11.27,0,0
19, C3,11.5,0,0
20, D#3,11.62,0,0
21, D#3,12.01,1,0
22, F#3,12.83,0,0
23, A#3,13.68,1,0
24, C#4,14.44,0,0
25, A#3,14.89,0,0
26, A#3,15.34,1,0
27, G#3,17.25,0,1
28, A#3,17.39,0,0
29, C4,17.63,0,0
30, A#3,17.73,0,0
31, A#3,18.0,0,0
32, G#3,18.12,0,0
33, A#3,18.53,1,0
34, F3,20.42,0,1
35, G3,20.53,0,0
36, G#3,20.76,0,0
37, G3,20.88,0,0
38, G3,21.15,0,0
39, F3,21.28,0,0
40, G3,21.66,1,0
41, D#3,23.46,0,1
42, F3,23.58,0,0
43, G3,23.78,0,0
44, D#3,23.92,0,0
45, C3,24.18,0,0
46, D#3,24.3,0,0
47, D#3,24.69,1,0
48, D#3,27.25,0,1
49, D#3,27.59,0,0
50, F3,27.75,1,0
51, F3,27.95,0,0
52, F3,28.1,0,0
53, F3,28.3,0,0
54, G3,28.51,0,0
55, G3,28.73,0,0
56, D#3,29.11,1,0
57, D#3,29.51,0,0
58, D#3,30.23,0,0
59, D#3,30.37,0,0
60, D#3,30.61,0,0
61, F3,30.75,1,0
62, F3,30.96,0,0
63, F3,31.09,0,0
64, F3,31.29,0,0
65, G3,31.45,0,0
66, G3,31.69,0,0
67, D#3,32.01,0,0
68, D#4,32.91,0,1
69, F4,33.14,0,0
70, F#4,33.32,0,0
71, F4,33.5,0,0
72, D#4,33.71,1,0
73, D#4,33.96,0,0
74, D#4,34.06,0,0
75, D#4,34.29,0,0
76, F4,34.43,0,0
77, F4,34.65,0,0
78, C#4,34.98,0,0
79, C#4,35.36,0,1
80, C#4,36.16,0,0
81, C#4,36.26,0,0
82, C#4,36.47,0,0
83, D4,36.64,1,0
84, D4,36.84,0,0
85, D4,36.97,0,0
86, D4,37.2,0,0
87, D#4,37.34,0,0
88, F4,37.55,0,0
89, F#4,37.73,0,0
90, G#4,38.0,0,0
91, A#4,38.33,0,0
92, A#3,39.23,1,0
93, A#3,39.67,0,0
94, G#3,41.42,0,1
95, A#3,41.53,0,0
96, C4,41.79,0,0
97, A#3,41.9,0,0
98, A#3,42.14,0,0
99, G#3,42.25,0,0
100, A#3,42.68,1,0
101, F3,44.47,0,1
102, G3,44.63,0,0
103, G#3,44.86,0,0
104, G3,45.0,0,0
105, G3,45.24,0,0
106, F3,45.35,0,0
107, G3,45.72,1,0
108, D#3,47.44,0,1
109, F3,47.55,0,0
110, G3,47.78,0,0
111, D#3,47.91,0,0
112, C3,48.13,0,0
113, D#3,48.26,0,0
114, D#3,48.65,1,0
115, A#3,50.21,1,0
116, A#3,50.6,0,0
117, A#3,51.46,0,0
118, A#3,51.91,1,0
119, G#3,53.71,0,1
120, A#3,53.83,0,0
121, C4,54.07,0,0
122, A#3,54.17,0,0
123, A#3,54.45,0,0
124, G#3,54.58,0,0
125, A#3,54.98,1,0
126, F3,56.77,0,1
127, G3,56.93,0,0
128, G#3,57.14,0,0
129, G3,57.29,0,0
130, G3,57.55,0,0
131, F3,57.65,0,0
132, G3,58.03,1,0
133, D#3,59.73,0,1
134, F3,59.84,0,0
135, G3,60.08,0,0
136, D#3,60.22,0,0
137, C3,60.45,0,0
138, D#3,60.6,0,0
139, D#3,60.96,1,0
140, F#3,61.78,0,0
141, A#3,62.64,1,0
142, C#4,63.43,0,0
143, A#3,63.84,0,0
144, A#3,64.26,1,0
145, G#3,66.1,0,1
146, A#3,66.25,0,0
147, C4,66.51,0,0
148, A#3,66.63,0,0
149, A#3,66.88,0,0
150, G#3,67.0,0,0
151, A#3,67.41,1,0
152, F3,69.31,0,1
153, G3,69.45,0,0
154, G#3,69.68,0,0
155, G3,69.83,0,0
156, G3,70.05,0,0
157, F3,70.2,0,0
158, G3,70.58,1,0
159, D#3,72.3,0,1
160, F3,72.44,0,0
161, G3,72.72,0,0
162, D#3,72.8,0,0
163, C3,73.04,0,0
164, D#3,73.16,0,0
165, D#3,73.56,1,0
166, D#3,75.99,0,1
167, D#3,76.33,0,0
168, F3,76.49,1,0
169, F3,76.68,0,0
170, F3,76.85,0,0
171, F3,77.04,0,0
172, G3,77.26,0,0
173, G3,77.46,0,0
174, D#3,77.8,1,0
175, D#3,78.2,0,0
176, D#3,78.94,0,0
177, D#3,79.06,0,0
178, D#3,79.3,0,0
179, F3,79.42,1,0
180, F3,79.63,0,0
181, F3,79.79,0,0
182, F3,79.99,0,0
183, G3,80.16,0,0
184, G3,80.41,0,0
185, D#3,80.7,0,0
186, D#4,81.6,0,1
187, F4,81.86,0,0
188, F#4,82.02,0,0
189, G4,82.22,0,0
190, D#4,82.38,1,0
191, D4,82.59,0,0
192, D#4,82.73,0,0
193, D#4,82.93,0,0
194, F4,83.07,0,0
195, F4,83.29,0,0
196, C#4,83.65,0,0
197, C#4,84.05,0,1
198, C#4,84.85,0,0
199, C#4,84.95,0,0
200, C#4,85.16,0,0
201, D4,85.33,1,0
202, D4,85.51,0,0
203, D4,85.64,0,0
204, D4,85.87,0,0
205, F4,86.0,0,0
206, F4,86.39,0,0
207, A#4,86.61,0,0
208, A#3,87.87,1,1
209, A#3,88.33,0,0
210, G#3,90.13,0,1
211, A#3,90.28,0,0
212, C4,90.51,0,0
213, A#3,90.65,0,0
214, A#3,90.88,0,0
215, G#3,91.0,0,0
216, A#3,91.43,1,0
217, F3,93.32,0,1
218, G3,94.09,0,0
219, F3,94.2,0,0
220, G3,94.57,1,0
221, D#3,96.29,0,1
222, F3,96.41,0,0
223, G3,96.63,0,0
224, D#3,96.76,0,0
225, C3,96.99,0,0
226, D#3,97.15,0,0
227, D#3,97.5,1,0
228, F3,99.1,1,0
229, A#3,100.69,1,0
