index,note,duration,tactus,joint
0, A3,1.32,0,0
1, D3,1.87,0,0
2, D4,2.63,0,1
3, B3,3.11,0,0
4, A3,3.34,1,0
5, D3,3.76,0,0
6, A3,4.58,0,1
7, G3,5.02,0,0
8, F#3,5.27,1,0
9, F#3,5.51,0,0
10, G3,5.71,0,0
11, A3,5.96,0,0
12, D3,6.2,1,0
13, E3,6.71,0,0
14, F#3,7.21,1,0
15, A3,9.05,1,1
16, D3,9.58,0,0
17, D4,10.29,0,1
18, B3,10.74,0,0
19, A3,10.98,1,0
20, D3,11.39,0,0
21, A3,12.14,0,1
22, G3,12.57,0,0
23, F#3,12.83,1,0
24, F#3,13.07,0,0
25, G3,13.28,0,0
26, A3,13.5,0,0
27, D3,13.71,1,0
28, E3,14.22,0,0
29, D3,14.68,1,0
30, C#4,16.54,1,1
31, F#3,17.03,0,0
32, D4,17.76,0,1
33, C#4,18.17,0,0
34, C#4,18.42,1,0
35, B3,18.65,0,0
36, B3,18.86,0,0
37, C#4,19.1,0,0
38, B3,19.33,1,0
39, B3,20.29,1,0
40, E3,20.8,0,0
41, C#4,21.52,0,1
42, B3,21.92,0,0
43, B3,22.23,1,0
44, A3,22.45,0,0
45, A3,22.67,0,0
46, B3,22.87,0,0
47, A3,23.13,1,0
48, A3,24.1,1,0
49, D3,24.62,0,0
50, D4,25.33,0,1
51, B3,25.82,0,0
52, A3,26.04,1,0
53, D3,26.55,0,0
54, A3,27.22,0,1
55, G3,27.62,0,0
56, F#3,27.88,1,0
57, F#3,28.13,0,0
58, G3,28.36,0,0
59, A3,28.58,0,0
60, D3,28.83,1,0
61, E3,29.34,0,0
62, F#3,30.05,0,1
63, G3,30.3,0,0
64, A3,30.52,0,0
65, D3,30.81,1,0
66, E3,31.27,0,0
67, F#3,31.93,0,1
68, G3,32.16,0,0
69, A3,32.37,0,0
70, D4,32.63,1,0
71, E4,33.1,0,0
72, D4,33.58,1,0
