index,note,duration,tactus,joint
0, G2,1.39,0,0
1, G2,2.52,0,0
2, G2,4.24,0,0
3, G#2,4.81,1,0
4, G#2,5.97,0,0
5, F2,8.24,1,0
6, A#2,9.38,0,0
7, G#2,11.06,0,0
8, G#2,11.6,1,0
9, G2,12.16,0,0
10, G2,12.78,0,0
11, C3,15.06,1,0
12, C3,16.17,0,0
13, D3,17.37,0,0
14, D#3,17.97,0,0
15, F3,18.31,0,0
16, A#2,18.68,1,0
17, A#2,19.88,0,0
18, D#3,21.74,0,0
19, G2,22.35,1,0
20, F2,22.99,0,0
21, G2,23.53,0,0
22, F2,24.75,0,0
23, D#2,25.38,0,0
24, D#2,26.07,1,0
25, G2,29.46,1,0
26, D#3,30.64,0,0
27, C3,32.25,0,0
28, A2,32.83,1,0
29, G2,33.36,0,0
30, F2,33.96,0,0
31, C3,36.26,1,0
32, F3,37.44,0,0
33, D3,38.98,0,0
34, A#2,39.52,1,0
35, A2,40.05,0,0
36, A#2,40.62,0,0
37, D#3,42.37,0,0
38, D3,42.96,1,0
39, C3,43.5,0,0
40, D3,44.04,0,0
41, C3,45.24,0,0
42, A#2,45.79,0,0
43, A#2,46.41,1,0
44, G2,49.86,1,0
45, G2,51.05,0,0
46, C3,52.9,0,0
47, G#2,53.49,1,0
48, G#2,54.68,0,0
49, F2,56.92,1,0
50, A#2,58.04,0,0
51, G#2,59.7,0,0
52, G#2,60.25,1,0
53, G2,60.82,0,0
54, G2,61.44,0,0
55, C3,63.75,0,0
56, C3,64.94,0,0
57, D3,66.11,0,0
58, D#3,66.65,0,0
59, F3,67.02,0,0
60, A#2,67.39,1,0
61, A#2,68.6,0,0
62, D#3,70.47,0,0
63, G2,71.05,1,0
64, F2,71.65,0,0
65, G2,72.21,0,0
66, F2,73.37,0,0
67, D#2,73.96,0,0
68, D#2,74.74,1,0
69, G2,78.65,1,0
70, C3,79.66,0,0
71, D3,81.14,0,0
72, B2,81.78,1,0
73, A2,82.29,0,0
74, G2,82.85,0,0
75, G2,85.05,1,0
76, C3,86.11,0,0
77, D3,87.63,0,0
78, D#3,88.22,1,0
79, D3,88.72,0,0
80, D#3,89.27,0,0
81, D#3,91.46,1,0
82, F3,92.63,0,0
83, D#3,93.18,0,0
84, D3,93.73,0,0
85, C3,94.3,0,0
86, F3,94.86,1,0
87, A2,95.45,0,0
88, A#2,96.03,0,0
89, A2,97.67,0,0
90, A#2,98.2,1,0
91, C3,98.78,0,0
92, C3,99.34,0,0
93, A#2,100.86,0,0
94, C3,101.11,0,0
95, D3,101.41,1,0
96, F#2,101.99,0,0
97, G2,102.59,0,0
98, D#3,104.96,1,0
99, D3,105.48,0,0
100, C3,106.03,0,0
101, A#2,106.57,0,0
102, A2,107.06,0,0
103, G2,107.64,0,0
104, D3,108.22,1,0
105, F#2,109.36,0,0
106, C3,111.0,0,0
107, A#2,111.54,1,0
108, A2,112.05,0,0
109, A2,112.64,0,0
110, G2,114.18,0,0
111, G2,114.83,1,0
112, G2,118.11,1,0
113, G2,119.27,0,0
114, G2,121.12,0,0
115, G#2,121.7,1,0
116, G#2,122.81,0,0
117, F2,125.2,1,0
118, A#2,126.29,0,0
119, G#2,128.11,0,0
120, G#2,128.62,1,0
121, G2,129.2,0,0
122, G2,129.83,0,0
123, C3,132.04,1,0
124, C3,133.15,0,0
125, D3,134.37,0,0
126, D#3,134.9,0,0
127, F3,135.23,0,0
128, A#2,135.57,1,0
129, A#2,136.75,0,0
130, D#3,138.57,0,0
131, G2,139.13,1,0
132, F2,139.72,0,0
133, G2,140.25,0,0
134, F2,141.41,0,0
135, D#2,141.99,0,0
136, D#2,142.65,1,0
137, G2,145.51,1,0
138, D#3,146.6,0,0
139, C3,148.14,0,0
140, A2,148.69,1,0
141, G2,149.25,0,0
142, F2,149.8,0,0
143, C3,151.95,1,0
144, F3,153.04,0,0
145, D3,154.5,0,0
146, A#2,155.0,1,0
147, A2,155.53,0,0
148, A#2,156.05,0,0
149, D#3,157.75,0,0
150, D3,158.28,1,0
151, C3,158.82,0,0
152, D3,159.36,0,0
153, C3,160.53,0,0
154, A#2,161.06,0,0
155, A#2,161.66,1,0
156, G2,164.71,1,0
157, G2,165.8,0,0
158, C3,167.41,0,0
159, G#2,167.96,1,0
160, G#2,169.1,0,0
161, F2,171.17,1,0
162, A#2,172.2,0,0
163, G#2,173.81,0,0
164, G#2,174.34,1,0
165, G2,174.85,0,0
166, G2,175.45,0,0
167, C3,177.55,1,0
168, C3,178.61,0,0
169, D3,179.74,0,0
170, D#3,180.24,0,0
171, F3,180.54,0,0
172, A#2,180.91,1,0
173, A#2,182.04,0,0
174, D#3,183.77,0,0
175, G2,184.31,1,0
176, F2,184.85,0,0
177, G2,185.47,0,0
178, F2,186.6,0,0
179, D#2,187.15,0,0
180, D#2,187.86,1,0
