index, note, duration, tactus, joint
0, D3,1.07,0,0
1, D3,1.55,0,0
2, D2,2.12,1,0
3, F#2,3.34,0,1
4, A2,3.57,0,0
5, D3,3.83,0,0
6, C#3,4.03,1,0
7, B2,4.3,0,0
8, A2,4.58,0,0
9, A2,5.52,0,1
10, A1,6.1,1,0
11, C#2,7.29,0,1
12, E2,7.55,0,0
13, G2,7.79,0,0
14, F#2,8.08,1,0
15, E2,8.31,0,0
16, D2,8.56,0,0
17, E2,9.33,0,1
18, D2,9.6,0,0
19, C#2,10.38,0,1
20, D2,10.59,0,0
21, E2,10.87,0,0
22, F#2,11.13,1,0
23, E2,11.38,0,0
24, D2,11.61,0,0
25, C#2,11.89,0,0
26, E2,12.18,1,0
27, D2,12.43,0,0
28, E2,12.67,0,0
29, F#2,12.93,0,0
30, G2,13.18,1,0
31, F#2,13.44,0,0
32, E2,13.67,0,0
33, D2,13.91,0,0
34, F#2,14.24,1,0
35, E2,14.48,0,0
36, F#2,14.73,0,0
37, G2,14.96,0,0
38, A2,15.21,1,0
39, G2,15.46,0,0
40, F#2,15.73,0,0
41, E2,15.97,0,0
42, B2,16.27,1,0
43, A2,16.5,0,0
44, G2,16.77,0,0
45, F#2,17.0,0,0
46, C#3,17.25,1,0
47, B2,17.51,0,0
48, A2,17.75,0,0
49, C#3,18.01,0,0
50, D3,18.26,1,0
51, D3,18.77,0,0
52, D2,19.31,1,0
53, F#2,20.4,0,1
54, A2,20.65,0,0
55, C3,20.91,0,0
56, B2,21.16,1,0
57, A2,21.4,0,0
58, G2,21.68,0,0
59, G2,22.23,1,0
60, G2,22.71,0,0
61, G1,23.22,1,0
62, B1,24.37,0,1
63, D2,24.62,0,0
64, F2,24.83,0,0
65, E2,25.12,1,0
66, D2,25.34,0,0
67, C2,25.62,0,0
68, C2,26.25,1,0
69, C3,26.61,0,0
70, B2,26.84,0,0
71, C3,27.08,1,0
72, B2,27.85,0,0
73, A2,28.12,1,0
74, B2,28.83,0,0
75, C3,29.08,1,0
76, G2,29.35,0,0
77, C3,29.6,0,0
78, C3,30.5,0,1
79, B2,30.73,0,0
80, C3,31.02,1,0
81, B2,31.25,0,0
82, A2,31.52,0,0
83, G#2,31.76,0,0
84, A2,32.02,1,0
85, G#2,32.53,0,0
86, A2,32.79,0,0
87, A#2,33.13,1,0
88, E2,33.31,0,0
89, A#2,33.6,0,0
90, A2,34.07,1,0
91, B2,34.35,0,0
92, A2,34.61,0,0
93, G#2,35.34,0,1
94, A2,35.57,0,0
95, B2,35.81,0,0
96, C3,36.05,1,0
97, B2,36.29,0,0
98, A2,36.53,0,0
99, G#2,36.8,0,0
100, G2,37.03,1,0
101, F#2,37.31,0,0
102, G2,37.54,0,0
103, A2,37.77,0,0
104, B2,38.0,1,0
105, A2,38.28,0,0
106, G2,38.49,0,0
107, F#2,38.72,0,0
108, F2,39.02,1,0
109, E2,39.26,0,0
110, F2,39.53,0,0
111, G2,39.77,0,0
112, A2,40.0,1,0
113, F2,40.25,0,0
114, G2,40.49,0,0
115, A2,40.73,0,0
116, B2,40.98,1,0
117, G2,41.14,0,0
118, A2,41.45,0,0
119, B2,41.69,0,0
120, C3,41.92,1,0
121, A2,42.23,0,0
122, B2,42.45,0,0
123, C3,42.68,0,0
124, D3,42.94,1,0
125, B2,43.17,0,0
126, C3,43.43,0,0
127, D3,43.66,0,0
128, D2,43.94,1,0
129, F#2,45.14,0,1
130, A2,45.39,0,0
131, C3,45.64,0,0
132, B2,45.86,1,0
133, A2,46.09,0,0
134, G2,46.36,0,0
135, A2,46.89,1,0
136, F#2,47.09,0,0
137, G2,47.34,0,0
138, A2,47.59,0,0
139, A1,47.9,1,0
140, C#2,49.11,0,1
141, E2,49.37,0,0
142, G2,49.62,0,0
143, F#2,49.82,1,0
144, E2,50.08,0,0
145, D2,50.33,0,0
146, C#2,51.07,0,1
147, D2,51.33,0,0
148, E2,52.07,0,1
149, D2,52.35,0,0
150, C#2,53.09,0,1
151, D2,53.32,0,0
152, E2,53.56,0,0
153, F#2,53.84,1,0
154, G2,54.07,0,0
155, A2,54.31,0,0
156, B2,54.54,0,0
157, C#3,54.78,1,0
158, A2,55.01,0,0
159, B2,55.27,0,0
160, C#3,55.51,0,0
161, D3,55.76,1,0
162, D3,56.22,0,0
163, D2,56.76,1,0
164, F#2,57.93,0,1
165, A2,58.16,0,0
166, D3,58.42,0,0
167, C#3,58.64,1,0
168, B2,58.87,0,0
169, A2,59.13,0,0
170, A2,60.03,0,1
171, A1,60.58,1,0
172, C#2,61.77,0,1
173, E2,62.0,0,0
174, G2,62.25,0,0
175, F#2,62.48,1,0
176, E2,62.72,0,0
177, D2,63.0,0,0
178, E2,63.74,0,1
179, D2,63.97,0,0
180, C#2,64.23,0,0
181, D2,64.48,1,0
182, C#2,64.71,0,0
183, D2,64.95,0,0
184, E2,65.17,0,0
185, F#2,65.41,1,0
186, E2,65.63,0,0
187, D2,65.88,0,0
188, C#2,66.12,0,0
189, E2,66.37,1,0
190, D2,66.61,0,0
191, E2,66.81,0,0
192, F#2,67.05,0,0
193, G2,67.28,1,0
194, F#2,67.52,0,0
195, E2,67.75,0,0
196, D2,67.97,0,0
197, F#2,68.27,1,0
198, E2,68.48,0,0
199, F#2,68.72,0,0
200, G2,68.94,0,0
201, A2,69.18,1,0
202, G2,69.41,0,0
203, F#2,69.65,0,0
204, E2,69.86,0,0
205, B2,70.18,1,0
206, A2,70.41,0,0
207, G2,70.65,0,0
208, F#2,70.88,0,0
209, C#3,71.12,1,0
210, B2,71.36,0,0
